Wavelength,Intensity
450.596,1196858.3333333333
450.807,1197568.3333333333
451.018,1209828.3333333333
451.23,1223341.6666666667
451.441,1187078.3333333333
451.652,1225233.3333333333
451.864,1234298.3333333333
452.075,1199356.6666666667
452.286,1224690.0
452.498,1237825.0
452.709,1219876.6666666667
452.92,1218856.6666666667
453.131,1245216.6666666667
453.343,1248996.6666666665
453.554,1247290.0
453.765,1273360.0
453.976,1266191.6666666665
454.187,1269051.6666666667
454.399,1269145.0
454.61,1295358.3333333333
454.821,1305348.3333333333
455.032,1307793.3333333333
455.243,1275165.0
455.454,1293180.0
455.665,1351196.6666666667
455.877,1322476.6666666665
456.088,1319538.3333333333
456.299,1323326.6666666667
456.51,1344106.6666666667
456.721,1329896.6666666667
456.932,1345755.0
457.143,1359466.6666666667
457.354,1407761.6666666665
457.565,1385181.6666666667
457.776,1385936.6666666667
457.987,1395500.0
458.198,1398773.3333333333
458.409,1405456.6666666665
458.62,1400371.6666666665
458.83,1403409.9999999998
459.041,1418983.3333333333
459.252,1428200.0
459.463,1455236.6666666667
459.674,1461100.0
459.885,1448638.3333333333
460.096,1497666.6666666667
460.306,1464135.0
460.517,1488928.3333333333
460.728,1496141.6666666667
460.939,1504534.9999999998
461.15,1468108.3333333333
461.36,1526540.0
461.571,1558013.3333333333
461.782,1545994.9999999998
461.993,1525318.3333333333
462.203,1580128.3333333335
462.414,1563208.3333333333
462.625,1574174.9999999998
462.835,1626215.0
463.046,1632983.3333333333
463.257,1630563.3333333333
463.467,1606608.3333333333
463.678,1640458.3333333333
463.889,1649591.6666666665
464.099,1653633.3333333333
464.31,1688814.9999999998
464.52,1673924.9999999998
464.731,1696856.6666666665
464.941,1705683.3333333333
465.152,1709748.3333333333
465.362,1748840.0
465.573,1766115.0
465.783,1769368.3333333333
465.994,1747860.0
466.204,1791771.6666666665
466.415,1857911.6666666665
466.625,1858123.3333333333
466.836,1810248.3333333333
467.046,1875018.3333333335
467.257,1837336.6666666667
467.467,1887965.0
467.677,1882368.3333333333
467.888,1892071.6666666667
468.098,1919189.9999999998
468.308,1960098.3333333333
468.519,1942755.0
468.729,2003238.3333333333
468.939,2038205.0
469.15,2026871.6666666665
469.36,2004761.6666666665
469.57,2032486.6666666667
469.78,2092011.6666666665
469.991,2048996.6666666665
470.201,2140080.0
470.411,2103643.3333333335
470.621,2176503.3333333335
470.831,2109763.3333333335
471.042,2158566.6666666665
471.252,2185466.6666666665
471.462,2132978.3333333335
471.672,2182561.666666667
471.882,2225211.6666666665
472.092,2208613.3333333335
472.302,2248763.3333333335
472.512,2275305.0
472.723,2318636.6666666665
472.933,2344966.6666666665
473.143,2336368.333333333
473.353,2367883.333333333
473.563,2396868.333333333
473.773,2443945.0
473.983,2412130.0
474.193,2405303.333333333
474.403,2493361.6666666665
474.613,2517590.0
474.822,2535045.0
475.032,2511516.6666666665
475.242,2555071.6666666665
475.452,2558958.3333333335
475.662,2599556.6666666665
475.872,2617415.0
476.082,2632626.6666666665
476.292,2667518.3333333335
476.502,2666525.0
476.711,2709355.0
476.921,2723748.333333333
477.131,2739780.0
477.341,2772316.666666667
477.551,2805591.6666666665
477.76,2804540.0
477.97,2889818.333333333
478.18,2886698.333333333
478.39,2904420.0
478.599,2920991.6666666665
478.809,2953950.0
479.019,2925698.333333333
479.228,2963821.6666666665
479.438,3001978.333333333
479.648,3024806.6666666665
479.857,3028438.3333333335
480.067,3055885.0
480.276,3047781.6666666665
480.486,3098614.9999999995
480.696,3120046.6666666665
480.905,3101786.666666667
481.115,3158378.3333333335
481.324,3163321.6666666665
481.534,3208435.0
481.743,3240703.3333333335
481.953,3264349.9999999995
482.162,3246021.666666667
482.372,3303355.0
482.581,3320898.333333333
