Wavelength(nm),Intensity
417.678,1912.92
417.891,1883.56
418.105,1886.34
418.318,1947.08
418.531,1955.03
418.745,1969.18
418.958,1969.65
419.171,1980.73
419.384,2031.83
419.598,2010.65
419.811,2060.5
420.024,2051.57
420.237,2078.28
420.45,2129.97
420.664,2109.45
420.877,2106.93
421.09,2159.7
421.303,2152.41
421.516,2197.49
421.729,2170.17
421.942,2225.24
422.155,2222.58
422.368,2295.59
422.582,2253.44
422.795,2236.71
423.008,2287.05
423.221,2285.2
423.434,2343.1
423.647,2335.24
423.86,2344.16
424.073,2485.62
424.286,2376.67
424.498,2460.55
424.711,2448.86
424.924,2472.02
425.137,2485.33
425.35,2534.97
425.563,2565.55
425.776,2536.39
425.989,2523.77
426.202,2583.82
426.414,2659.51
426.627,2615.36
426.84,2758.37
427.053,2705.98
427.266,2730.68
427.478,2716.24
427.691,2768.18
427.904,2779.95
428.117,2919.58
428.329,2860.17
428.542,2843.95
428.755,2889.19
428.967,2905.27
429.18,2958.15
429.393,3078.38
429.605,2994.27
429.818,3065.4
430.031,3006.89
430.243,3019.48
430.456,3165.89
430.668,3153.07
430.881,3168.6
431.094,3113.28
431.306,3241.34
431.519,3291.06
431.731,3248.69
431.944,3247.93
432.156,3274.93
432.369,3433.13
432.581,3464.94
432.794,3538.27
433.006,3444.03
433.218,3531.54
433.431,3470.71
433.643,3519.33
433.856,3633.61
434.068,3616.16
434.28,3651.87
434.493,3626.99
434.705,3647.8
434.918,3811.02
435.13,3710.0
435.342,3751.32
435.554,3849.44
435.767,3881.51
435.979,3945.02
436.191,3958.21
436.404,3961.69
436.616,4130.71
436.828,4063.8
437.04,3951.08
437.252,4162.17
437.465,4036.93
437.677,4124.65
437.889,4315.29
438.101,4146.42
438.313,4216.34
438.525,4348.37
438.737,4245.7
438.949,4343.82
439.162,4304.23
439.374,4384.8
439.586,4440.85
439.798,4365.43
440.01,4556.01
440.222,4392.34
440.434,4605.1
440.646,4573.05
440.858,4545.94
441.07,4609.5
441.282,4657.92
441.494,4730.46
441.706,4766.34
441.918,4634.49
442.129,4764.72
442.341,4709.49
442.553,4796.67
442.765,4919.65
442.977,4917.23
443.189,4805.5
443.401,4926.55
443.612,4901.75
443.824,5091.39
444.036,5157.73
444.248,5070.11
444.46,5109.05
444.671,5098.36
444.883,5131.35
445.095,5104.36
445.307,5068.78
445.518,5270.38
445.73,5227.25
445.942,5257.77
446.153,5314.62
446.365,5363.61
446.577,5275.42
446.788,5306.06
447.0,5370.22
447.212,5557.78
447.423,5406.12
447.635,5532.59
447.846,5384.03
448.058,5667.47
448.269,5493.78
448.481,5571.91
448.692,5583.4
448.904,5752.46
449.115,5662.82
449.327,5752.11
449.538,5797.74
