Record Length,10000,Points,-10.0399993E-6,32.00000152E-3,,Record Length,10000,Points,-10.0399993E-6,31.00000136E-3,
Sample Interval,1.9999999E-9,s,-10.0379993E-6,34.00000185E-3,,Sample Interval,1.9999999E-9,s,-10.0379993E-6,31.00000136E-3,
Trigger Point,5.02000004E3,Samples,-10.0359994E-6,30.00000119E-3,,Trigger Point,5.02000004E3,Samples,-10.0359994E-6,31.00000136E-3,
,,,-10.0339994E-6,34.00000185E-3,,,,,-10.0339994E-6,29.00000103E-3,
,,,-10.0319994E-6,34.00000185E-3,,,,,-10.0319994E-6,31.00000136E-3,
,,,-10.0299994E-6,32.00000152E-3,,,,,-10.0299994E-6,32.99999982E-3,
Source,CH1,,-10.0279995E-6,32.00000152E-3,,Source,CH2,,-10.0279995E-6,31.00000136E-3,
Vertical Units,V,,-10.0259995E-6,34.00000185E-3,,Vertical Units,V,,-10.0259995E-6,31.00000136E-3,
Vertical Scale,50.00000237E-3,,-10.0239995E-6,34.00000185E-3,,Vertical Scale,50.00000237E-3,,-10.0239995E-6,31.00000136E-3,
Vertical Offset,0,,-10.0219995E-6,32.00000152E-3,,Vertical Offset,0,,-10.0219995E-6,31.00000136E-3,
Horizontal Units,s,,-10.0199995E-6,32.00000152E-3,,Horizontal Units,s,,-10.0199995E-6,27.00000070E-3,
Horizontal Scale,1.9999999E-6,,-10.0179996E-6,32.00000152E-3,,Horizontal Scale,1.9999999E-6,,-10.0179996E-6,31.00000136E-3,
Pt Fmt,Y,,-10.0159996E-6,30.00000119E-3,,Pt Fmt,Y,,-10.0159996E-6,29.00000103E-3,
Yzero,840.000000000E-3,,-10.0139996E-6,32.00000152E-3,,Yzero,-1.1400000,,-10.0139996E-6,31.00000136E-3,
Probe Atten,1.000000,,-10.0119996E-6,34.00000185E-3,,Probe Atten,1.000000,,-10.0119996E-6,32.99999982E-3,
,,,-10.0099996E-6,34.00000185E-3,,,,,-10.0099996E-6,31.00000136E-3,
Note,TDS 3052B - 10:41:05 AM   6/7/2021,,-10.0079997E-6,32.00000152E-3,,Note,TDS 3052B - 10:41:05 AM   6/7/2021,,-10.0079997E-6,31.00000136E-3,
,,,-10.0059997E-6,32.00000152E-3,,,,,-10.0059997E-6,32.99999982E-3,
,,,-10.0039997E-6,30.00000119E-3,,,,,-10.0039997E-6,29.00000103E-3,
,,,-10.0019997E-6,32.00000152E-3,,,,,-10.0019997E-6,31.00000136E-3,
,,,-9.999999747E-6,34.00000185E-3,,,,,-9.999999747E-6,31.00000136E-3,
,,,-9.997999769E-6,34.00000185E-3,,,,,-9.997999769E-6,31.00000136E-3,
,,,-9.995998880E-6,34.00000185E-3,,,,,-9.995998880E-6,32.99999982E-3,
,,,-9.993998901E-6,34.00000185E-3,,,,,-9.993998901E-6,31.00000136E-3,
,,,-9.991998922E-6,30.00000119E-3,,,,,-9.991998922E-6,31.00000136E-3,
,,,-9.989998944E-6,32.00000152E-3,,,,,-9.989998944E-6,29.00000103E-3,
,,,-9.987998965E-6,32.00000152E-3,,,,,-9.987998965E-6,31.00000136E-3,
,,,-9.985998986E-6,32.00000152E-3,,,,,-9.985998986E-6,31.00000136E-3,
,,,-9.983999007E-6,32.00000152E-3,,,,,-9.983999007E-6,29.00000103E-3,
,,,-9.981999028E-6,36.00000218E-3,,,,,-9.981999028E-6,31.00000136E-3,
,,,-9.979999049E-6,32.00000152E-3,,,,,-9.979999049E-6,31.00000136E-3,
,,,-9.977999071E-6,32.00000152E-3,,,,,-9.977999071E-6,31.00000136E-3,
,,,-9.975999092E-6,32.00000152E-3,,,,,-9.975999092E-6,35.00000015E-3,
,,,-9.973999113E-6,34.00000185E-3,,,,,-9.973999113E-6,32.99999982E-3,
,,,-9.971999134E-6,30.00000119E-3,,,,,-9.971999134E-6,32.99999982E-3,
,,,-9.969999155E-6,36.00000218E-3,,,,,-9.969999155E-6,31.00000136E-3,
,,,-9.967999176E-6,34.00000185E-3,,,,,-9.967999176E-6,31.00000136E-3,
,,,-9.965999197E-6,34.00000185E-3,,,,,-9.965999197E-6,32.99999982E-3,
,,,-9.963999219E-6,34.00000185E-3,,,,,-9.963999219E-6,32.99999982E-3,
,,,-9.961999240E-6,32.00000152E-3,,,,,-9.961999240E-6,31.00000136E-3,
,,,-9.959999261E-6,36.00000218E-3,,,,,-9.959999261E-6,31.00000136E-3,
,,,-9.957999282E-6,34.00000185E-3,,,,,-9.957999282E-6,31.00000136E-3,
,,,-9.955999303E-6,34.00000185E-3,,,,,-9.955999303E-6,29.00000103E-3,
,,,-9.953999324E-6,34.00000185E-3,,,,,-9.953999324E-6,32.99999982E-3,
,,,-9.951999346E-6,32.00000152E-3,,,,,-9.951999346E-6,31.00000136E-3,
,,,-9.949999367E-6,32.00000152E-3,,,,,-9.949999367E-6,29.00000103E-3,
,,,-9.947999388E-6,34.00000185E-3,,,,,-9.947999388E-6,29.00000103E-3,
,,,-9.945999409E-6,32.00000152E-3,,,,,-9.945999409E-6,32.99999982E-3,
,,,-9.943999430E-6,32.00000152E-3,,,,,-9.943999430E-6,31.00000136E-3,
,,,-9.941999451E-6,36.00000218E-3,,,,,-9.941999451E-6,29.00000103E-3,
,,,-9.939999472E-6,32.00000152E-3,,,,,-9.939999472E-6,32.99999982E-3,
,,,-9.937999494E-6,34.00000185E-3,,,,,-9.937999494E-6,31.00000136E-3,
,,,-9.935999515E-6,30.00000119E-3,,,,,-9.935999515E-6,31.00000136E-3,
,,,-9.933999536E-6,38.00000250E-3,,,,,-9.933999536E-6,32.99999982E-3,
,,,-9.931999557E-6,34.00000185E-3,,,,,-9.931999557E-6,32.99999982E-3,
,,,-9.929999578E-6,34.00000185E-3,,,,,-9.929999578E-6,32.99999982E-3,
,,,-9.927999599E-6,32.00000152E-3,,,,,-9.927999599E-6,29.00000103E-3,
,,,-9.925999620E-6,30.00000119E-3,,,,,-9.925999620E-6,31.00000136E-3,
,,,-9.923999642E-6,32.00000152E-3,,,,,-9.923999642E-6,32.99999982E-3,
,,,-9.921999663E-6,36.00000218E-3,,,,,-9.921999663E-6,31.00000136E-3,
,,,-9.919999684E-6,32.00000152E-3,,,,,-9.919999684E-6,31.00000136E-3,
,,,-9.917999705E-6,34.00000185E-3,,,,,-9.917999705E-6,29.00000103E-3,
,,,-9.915999726E-6,38.00000250E-3,,,,,-9.915999726E-6,32.99999982E-3,
,,,-9.913999747E-6,32.00000152E-3,,,,,-9.913999747E-6,31.00000136E-3,
,,,-9.911999769E-6,34.00000185E-3,,,,,-9.911999769E-6,31.00000136E-3,
,,,-9.909998880E-6,34.00000185E-3,,,,,-9.909998880E-6,29.00000103E-3,
,,,-9.907998901E-6,32.00000152E-3,,,,,-9.907998901E-6,32.99999982E-3,
,,,-9.905998922E-6,32.00000152E-3,,,,,-9.905998922E-6,32.99999982E-3,
,,,-9.903998944E-6,32.00000152E-3,,,,,-9.903998944E-6,31.00000136E-3,
,,,-9.901998965E-6,32.00000152E-3,,,,,-9.901998965E-6,32.99999982E-3,
,,,-9.899998986E-6,36.00000218E-3,,,,,-9.899998986E-6,32.99999982E-3,
,,,-9.897999007E-6,32.00000152E-3,,,,,-9.897999007E-6,31.00000136E-3,
,,,-9.895999028E-6,32.00000152E-3,,,,,-9.895999028E-6,31.00000136E-3,
,,,-9.893999049E-6,32.00000152E-3,,,,,-9.893999049E-6,31.00000136E-3,
,,,-9.891999071E-6,32.00000152E-3,,,,,-9.891999071E-6,37.00000048E-3,
,,,-9.889999092E-6,38.00000250E-3,,,,,-9.889999092E-6,32.99999982E-3,
,,,-9.887999113E-6,32.00000152E-3,,,,,-9.887999113E-6,32.99999982E-3,
,,,-9.885999134E-6,34.00000185E-3,,,,,-9.885999134E-6,32.99999982E-3,
,,,-9.883999155E-6,34.00000185E-3,,,,,-9.883999155E-6,32.99999982E-3,
,,,-9.881999176E-6,34.00000185E-3,,,,,-9.881999176E-6,32.99999982E-3,
,,,-9.879999197E-6,34.00000185E-3,,,,,-9.879999197E-6,29.00000103E-3,
,,,-9.877999219E-6,34.00000185E-3,,,,,-9.877999219E-6,32.99999982E-3,
,,,-9.875999240E-6,36.00000218E-3,,,,,-9.875999240E-6,35.00000015E-3,
,,,-9.873999261E-6,30.00000119E-3,,,,,-9.873999261E-6,32.99999982E-3,
,,,-9.871999282E-6,34.00000185E-3,,,,,-9.871999282E-6,32.99999982E-3,
,,,-9.869999303E-6,30.00000119E-3,,,,,-9.869999303E-6,31.00000136E-3,
,,,-9.867999324E-6,34.00000185E-3,,,,,-9.867999324E-6,32.99999982E-3,
,,,-9.865999345E-6,32.00000152E-3,,,,,-9.865999345E-6,32.99999982E-3,
,,,-9.863999367E-6,32.00000152E-3,,,,,-9.863999367E-6,31.00000136E-3,
,,,-9.861999388E-6,32.00000152E-3,,,,,-9.861999388E-6,29.00000103E-3,
,,,-9.859999409E-6,32.00000152E-3,,,,,-9.859999409E-6,32.99999982E-3,
,,,-9.857999430E-6,32.00000152E-3,,,,,-9.857999430E-6,29.00000103E-3,
,,,-9.855999451E-6,32.00000152E-3,,,,,-9.855999451E-6,29.00000103E-3,
,,,-9.853999472E-6,30.00000119E-3,,,,,-9.853999472E-6,32.99999982E-3,
,,,-9.851999494E-6,32.00000152E-3,,,,,-9.851999494E-6,31.00000136E-3,
,,,-9.849999515E-6,32.00000152E-3,,,,,-9.849999515E-6,29.00000103E-3,
,,,-9.847999536E-6,36.00000218E-3,,,,,-9.847999536E-6,35.00000015E-3,
,,,-9.845999557E-6,36.00000218E-3,,,,,-9.845999557E-6,29.00000103E-3,
,,,-9.843999578E-6,36.00000218E-3,,,,,-9.843999578E-6,31.00000136E-3,
,,,-9.841999599E-6,32.00000152E-3,,,,,-9.841999599E-6,31.00000136E-3,
,,,-9.839999620E-6,34.00000185E-3,,,,,-9.839999620E-6,31.00000136E-3,
,,,-9.837999642E-6,34.00000185E-3,,,,,-9.837999642E-6,32.99999982E-3,
,,,-9.835999663E-6,30.00000119E-3,,,,,-9.835999663E-6,31.00000136E-3,
,,,-9.833999684E-6,32.00000152E-3,,,,,-9.833999684E-6,31.00000136E-3,
,,,-9.831999705E-6,34.00000185E-3,,,,,-9.831999705E-6,32.99999982E-3,
,,,-9.829999726E-6,30.00000119E-3,,,,,-9.829999726E-6,31.00000136E-3,
,,,-9.827999747E-6,34.00000185E-3,,,,,-9.827999747E-6,29.00000103E-3,
,,,-9.825999769E-6,32.00000152E-3,,,,,-9.825999769E-6,31.00000136E-3,
