Record Length,10000,Points,-990.920057120E-9,-1.1999999E-3,,Record Length,10000,Points,-990.920057120E-9,-799.999979790E-6,
Sample Interval,200.00000185E-12,s,-990.720081973E-9,-799.999979790E-6,,Sample Interval,200.00000185E-12,s,-990.720081973E-9,-799.999979790E-6,
Trigger Point,4.95460045E3,Samples,-990.520106825E-9,-799.999979790E-6,,Trigger Point,4.95460045E3,Samples,-990.520106825E-9,-399.99998990E-6,
,,,-990.320017991E-9,-799.999979790E-6,,,,,-990.320017991E-9,-399.99998990E-6,
,,,-990.120042843E-9,-1.1999999E-3,,,,,-990.120042843E-9,-799.999979790E-6,
,,,-989.920067695E-9,-1.1999999E-3,,,,,-989.920067695E-9,-799.999979790E-6,
Source,CH1,,-989.720092548E-9,-1.1999999E-3,,Source,CH2,,-989.720092548E-9,-399.99998990E-6,
Vertical Units,V,,-989.520003714E-9,-1.1999999E-3,,Vertical Units,V,,-989.520003714E-9,-799.999979790E-6,
Vertical Scale,9.999999747E-3,,-989.320028566E-9,-1.1999999E-3,,Vertical Scale,9.999999747E-3,,-989.320028566E-9,-799.999979790E-6,
Vertical Offset,0,,-989.120053418E-9,-1.1999999E-3,,Vertical Offset,0,,-989.120053418E-9,-399.99998990E-6,
Horizontal Units,s,,-988.920078271E-9,-799.999979790E-6,,Horizontal Units,s,,-988.920078271E-9,-799.999979790E-6,
Horizontal Scale,200.00000267E-9,,-988.720103123E-9,-799.999979790E-6,,Horizontal Scale,200.00000267E-9,,-988.720103123E-9,-399.99998990E-6,
Pt Fmt,Y,,-988.520014289E-9,-799.999979790E-6,,Pt Fmt,Y,,-988.520014289E-9,-799.999979790E-6,
Yzero,-3.40000000,,-988.320039141E-9,-799.999979790E-6,,Yzero,-3.44000000,,-988.320039141E-9,-399.99998990E-6,
Probe Atten,1.000000,,-988.120063994E-9,-1.1999999E-3,,Probe Atten,1.000000,,-988.120063994E-9,-399.99998990E-6,
,,,-987.920088846E-9,-1.1999999E-3,,,,,-987.920088846E-9,-399.99998990E-6,
Note,TDS 3052B - 10:44:44 AM   6/8/2021,,-987.720113699E-9,-1.1999999E-3,,Note,TDS 3052B - 10:44:44 AM   6/8/2021,,-987.720113699E-9,-399.99998990E-6,
,,,-987.520024864E-9,-1.1999999E-3,,,,,-987.520024864E-9,-399.99998990E-6,
,,,-987.320049717E-9,-1.1999999E-3,,,,,-987.320049717E-9,-799.999979790E-6,
,,,-987.120074569E-9,-799.999979790E-6,,,,,-987.120074569E-9,-799.999979790E-6,
,,,-986.920099422E-9,-1.1999999E-3,,,,,-986.920099422E-9,-799.999979790E-6,
,,,-986.720010587E-9,-1.1999999E-3,,,,,-986.720010587E-9,-399.99998990E-6,
,,,-986.520035440E-9,-1.1999999E-3,,,,,-986.520035440E-9,-799.999979790E-6,
,,,-986.320060292E-9,-1.1999999E-3,,,,,-986.320060292E-9,-799.999979790E-6,
,,,-986.120085145E-9,-1.1999999E-3,,,,,-986.120085145E-9,-799.999979790E-6,
,,,-985.920109997E-9,-799.999979790E-6,,,,,-985.920109997E-9,-399.99998990E-6,
,,,-985.720021163E-9,-799.999979790E-6,,,,,-985.720021163E-9,-399.99998990E-6,
,,,-985.520046015E-9,-1.1999999E-3,,,,,-985.520046015E-9,-399.99998990E-6,
,,,-985.320070868E-9,-1.1999999E-3,,,,,-985.320070868E-9,-799.999979790E-6,
,,,-985.120095720E-9,-1.1999999E-3,,,,,-985.120095720E-9,-399.99998990E-6,
,,,-984.920006886E-9,-1.1999999E-3,,,,,-984.920006886E-9,-399.99998990E-6,
,,,-984.720031738E-9,-799.999979790E-6,,,,,-984.720031738E-9,-399.99998990E-6,
,,,-984.520056591E-9,-799.999979790E-6,,,,,-984.520056591E-9,-399.99998990E-6,
,,,-984.320081443E-9,-799.999979790E-6,,,,,-984.320081443E-9,-399.99998990E-6,
,,,-984.120106295E-9,-1.1999999E-3,,,,,-984.120106295E-9,-799.999979790E-6,
,,,-983.920017461E-9,-799.999979790E-6,,,,,-983.920017461E-9,-799.999979790E-6,
,,,-983.720042314E-9,-1.1999999E-3,,,,,-983.720042314E-9,-799.999979790E-6,
,,,-983.520067166E-9,-799.999979790E-6,,,,,-983.520067166E-9,-399.99998990E-6,
,,,-983.320092018E-9,-799.999979790E-6,,,,,-983.320092018E-9,-399.99998990E-6,
,,,-983.120003184E-9,-1.1999999E-3,,,,,-983.120003184E-9,-399.99998990E-6,
,,,-982.920028036E-9,-1.1999999E-3,,,,,-982.920028036E-9,-399.99998990E-6,
,,,-982.720052889E-9,-1.1999999E-3,,,,,-982.720052889E-9,-399.99998990E-6,
,,,-982.520077741E-9,-1.1999999E-3,,,,,-982.520077741E-9,-799.999979790E-6,
,,,-982.320102594E-9,-799.999979790E-6,,,,,-982.320102594E-9,-799.999979790E-6,
,,,-982.120013759E-9,-799.999979790E-6,,,,,-982.120013759E-9,-799.999979790E-6,
,,,-981.920038612E-9,-799.999979790E-6,,,,,-981.920038612E-9,-799.999979790E-6,
,,,-981.720063464E-9,-1.1999999E-3,,,,,-981.720063464E-9,-799.999979790E-6,
,,,-981.520088317E-9,-799.999979790E-6,,,,,-981.520088317E-9,-399.99998990E-6,
,,,-981.320113169E-9,-799.999979790E-6,,,,,-981.320113169E-9,-399.99998990E-6,
,,,-981.120024335E-9,-799.999979790E-6,,,,,-981.120024335E-9,-799.999979790E-6,
,,,-980.920049187E-9,-1.1999999E-3,,,,,-980.920049187E-9,-799.999979790E-6,
,,,-980.720074040E-9,-1.1999999E-3,,,,,-980.720074040E-9,-399.99998990E-6,
,,,-980.520098892E-9,-1.1999999E-3,,,,,-980.520098892E-9,-399.99998990E-6,
,,,-980.320010058E-9,-799.999979790E-6,,,,,-980.320010058E-9,-399.99998990E-6,
,,,-980.120034910E-9,-1.1999999E-3,,,,,-980.120034910E-9,-399.99998990E-6,
,,,-979.920059763E-9,-799.999979790E-6,,,,,-979.920059763E-9,-399.99998990E-6,
,,,-979.720084615E-9,-1.1999999E-3,,,,,-979.720084615E-9,-799.999979790E-6,
,,,-979.520109468E-9,-799.999979790E-6,,,,,-979.520109468E-9,-799.999979790E-6,
,,,-979.320020633E-9,-1.1999999E-3,,,,,-979.320020633E-9,-799.999979790E-6,
,,,-979.120045486E-9,-799.999979790E-6,,,,,-979.120045486E-9,-399.99998990E-6,
,,,-978.920070338E-9,-1.1999999E-3,,,,,-978.920070338E-9,-799.999979790E-6,
,,,-978.720095191E-9,-1.1999999E-3,,,,,-978.720095191E-9,-799.999979790E-6,
,,,-978.520006356E-9,-1.1999999E-3,,,,,-978.520006356E-9,-799.999979790E-6,
,,,-978.320031209E-9,-799.999979790E-6,,,,,-978.320031209E-9,-799.999979790E-6,
,,,-978.120056061E-9,-799.999979790E-6,,,,,-978.120056061E-9,-799.999979790E-6,
,,,-977.920080913E-9,-799.999979790E-6,,,,,-977.920080913E-9,-399.99998990E-6,
,,,-977.720105766E-9,-1.1999999E-3,,,,,-977.720105766E-9,-399.99998990E-6,
,,,-977.520016932E-9,-1.1999999E-3,,,,,-977.520016932E-9,-399.99998990E-6,
,,,-977.320041784E-9,-799.999979790E-6,,,,,-977.320041784E-9,-399.99998990E-6,
,,,-977.120066636E-9,-1.1999999E-3,,,,,-977.120066636E-9,-399.99998990E-6,
,,,-976.920091489E-9,-1.1999999E-3,,,,,-976.920091489E-9,-799.999979790E-6,
,,,-976.720002654E-9,-799.999979790E-6,,,,,-976.720002654E-9,-799.999979790E-6,
,,,-976.520027507E-9,-799.999979790E-6,,,,,-976.520027507E-9,-799.999979790E-6,
,,,-976.320052359E-9,-1.1999999E-3,,,,,-976.320052359E-9,-799.999979790E-6,
,,,-976.120077212E-9,-1.1999999E-3,,,,,-976.120077212E-9,-799.999979790E-6,
,,,-975.920102064E-9,-799.999979790E-6,,,,,-975.920102064E-9,-399.99998990E-6,
,,,-975.720013230E-9,-799.999979790E-6,,,,,-975.720013230E-9,-799.999979790E-6,
,,,-975.520038082E-9,-799.999979790E-6,,,,,-975.520038082E-9,-799.999979790E-6,
,,,-975.320062935E-9,-799.999979790E-6,,,,,-975.320062935E-9,-799.999979790E-6,
,,,-975.120087787E-9,-1.1999999E-3,,,,,-975.120087787E-9,-799.999979790E-6,
,,,-974.920112640E-9,-1.1999999E-3,,,,,-974.920112640E-9,-799.999979790E-6,
,,,-974.720023805E-9,-1.1999999E-3,,,,,-974.720023805E-9,-399.99998990E-6,
,,,-974.520048658E-9,-1.1999999E-3,,,,,-974.520048658E-9,-399.99998990E-6,
,,,-974.320073510E-9,-1.1999999E-3,,,,,-974.320073510E-9,-399.99998990E-6,
