,,,,
Two People Whistling,,,,
Record Length,2500,Points,-0.23,-0.1
Sample Interval,0.0002,s,-0.2298,0.22
Trigger Point,1150.00005,Samples,-0.2296,0.2
,,,-0.2294,-0.08
,,,-0.2292,-0.32
,,,-0.229,-0.02
Source,CH1,,-0.2288,0.28
Vertical Units,Volts,,-0.2286,0.22
Vertical Scale,5.00E-01,,-0.2284,-0.16
Vertical Offset,0,,-0.2282,-0.18
Horizontal Units,s,,-0.228,0.04
Horizontal Scale,5.00E-02,,-0.2278,0.16
Pt Fmt,Y,,-0.2276,0.14
Yzero,0,,-0.2274,-0.12
Probe Atten,10,,-0.2272,-0.18
,,,-0.227,-0.1
Note,TBS 1052B - 10:52:36 AM   6/15/2021,,-0.2268,0.28
,,,-0.2266,0.22
,,,-0.2264,-0.12
,,,-0.2262,-0.3
,,,-0.226,0.04
,,,-0.2258,0.32
,,,-0.2256,0.1
,,,-0.2254,-0.18
,,,-0.2252,-0.24
,,,-0.225,0.08
,,,-0.2248,0.18
,,,-0.2246,0.16
,,,-0.2244,-0.12
,,,-0.2242,-0.16
,,,-0.224,-0.06
,,,-0.2238,0.28
,,,-0.2236,0.22
,,,-0.2234,-0.16
,,,-0.2232,-0.32
,,,-0.223,0.06
,,,-0.2228,0.38
,,,-0.2226,0.06
,,,-0.2224,-0.18
,,,-0.2222,-0.24
,,,-0.222,0.08
,,,-0.2218,0.22
,,,-0.2216,0.16
,,,-0.2214,-0.14
,,,-0.2212,-0.24
,,,-0.221,-0.04
,,,-0.2208,0.34
,,,-0.2206,0.24
,,,-0.2204,-0.26
,,,-0.2202,-0.3
,,,-0.22,0.04
,,,-0.2198,0.36
,,,-0.2196,0.1
,,,-0.2194,-0.18
,,,-0.2192,-0.24
,,,-0.219,0.06
,,,-0.2188,0.26
,,,-0.2186,0.22
,,,-0.2184,-0.16
,,,-0.2182,-0.34
,,,-0.218,0.02
,,,-0.2178,0.38
,,,-0.2176,0.26
,,,-0.2174,-0.3
,,,-0.2172,-0.38
,,,-0.217,0.02
,,,-0.2168,0.42
,,,-0.2166,0.2
,,,-0.2164,-0.16
,,,-0.2162,-0.32
,,,-0.216,-0.02
,,,-0.2158,0.34
,,,-0.2156,0.26
,,,-0.2154,-0.16
,,,-0.2152,-0.44
,,,-0.215,-0.02
,,,-0.2148,0.4
,,,-0.2146,0.3
,,,-0.2144,-0.28
,,,-0.2142,-0.36
